timestamp,temperature,air_pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_degrees,owm_weather_id_enc,owm_weather_main_enc,owm_weather_description_enc,owm_weather_icon_enc
1745248986,16.22,1023,52,6.36,100,10000,3.1,140,1,1,1,2
1745249566,16.34,1023,52,6.47,100,10000,3.1,120,1,1,1,2
1745250158,16.48,1023,52,6.6,100,10000,2.57,110,1,1,1,2
1745252586,17.29,1023,50,6.78,100,10000,3.09,120,1,1,1,2
1745253166,17.64,1019,47,6.2,100,10000,3.1,120,1,1,1,2
1745253758,18.05,1019,47,6.58,100,10000,3.6,110,1,1,1,2
1745256186,19.94,1019,45,7.66,100,10000,3.1,160,1,1,1,2
1745256766,20.92,1019,45,8.55,100,10000,5.14,140,1,1,1,2
1745257358,20.77,1019,47,9.06,100,10000,5.7,130,1,1,1,2
1745259786,21.54,1019,50,10.69,0,10000,4.63,130,0,0,0,1
1745260366,21.81,1019,50,10.94,0,10000,4.63,130,0,0,0,1
1745260958,22.33,1019,50,11.41,40,10000,5.7,120,2,1,2,5
1745263386,22.53,1019,54,12.77,0,10000,4.63,150,0,0,0,1
1745263966,22.5,1017,55,13.02,0,10000,4.63,150,0,0,0,1
1745264558,21.86,1017,56,12.7,0,10000,3.6,110,0,0,0,1
1745266986,21.98,1017,60,13.87,0,10000,3.6,140,0,0,0,1
1745267566,21.91,1017,61,14.06,0,10000,4.12,120,0,0,0,1
1745268158,21.43,1017,63,14.1,0,10000,5.14,120,0,0,0,1
1745270586,21.56,1017,66,14.94,0,10000,4.63,120,0,0,0,1
1745271166,21.64,1017,69,15.71,0,10000,4.63,140,0,0,0,1
1745271758,21.64,1017,69,15.71,0,10000,3.6,140,0,0,0,1
1745274186,21.74,1017,72,16.47,0,10000,4.63,120,0,0,0,1
1745274766,21.0,1016,70,15.32,0,10000,4.63,120,0,0,0,1
1745275358,20.8,1016,74,16.0,0,10000,4.12,130,0,0,0,1
1745277786,20.37,1016,79,16.61,0,10000,3.6,140,0,0,0,1
1745278366,20.08,1016,81,16.72,0,10000,3.1,140,0,0,0,1
1745278958,19.74,1016,82,16.58,0,10000,2.1,140,0,0,0,1
1745281386,19.01,1016,83,16.06,75,10000,1.54,90,3,1,3,4
1745281966,18.77,1016,84,16.01,40,10000,1.54,130,2,1,2,3
1745282558,18.65,1016,84,15.89,40,10000,2.06,90,2,1,2,3
1745284986,18.33,1016,84,15.58,100,10000,0.45,100,1,1,1,4
1745285566,18.22,1016,84,15.47,100,10000,2.57,90,1,1,1,4
1745286158,18.25,1016,85,15.69,75,10000,2.06,50,3,1,3,4
1745288586,18.03,1016,86,15.65,0,10000,0.0,0,0,0,0,0
1745289166,18.01,1016,86,15.63,40,10000,0.0,0,2,1,2,3
1745289758,17.77,1016,87,15.58,0,10000,0.0,0,0,0,0,0
1745292186,17.04,1016,89,15.21,75,10000,0.45,139,3,1,3,4
1745292766,16.84,1016,89,15.02,75,10000,0.45,139,3,1,3,4
1745293358,17.02,1016,89,15.19,40,10000,0.45,139,2,1,2,3
1745295786,16.52,1016,90,14.88,75,10000,0.0,0,3,1,3,4
1745296366,16.5,1015,91,15.03,40,10000,0.0,0,2,1,2,3
1745296958,16.2,1015,90,14.56,40,10000,0.0,0,2,1,2,3
1745299386,16.25,1015,91,14.78,100,10000,0.0,0,1,1,1,4
1745299966,16.25,1015,91,14.78,100,10000,0.0,0,1,1,1,4
1745300558,16.25,1015,92,14.95,100,10000,0.0,0,1,1,1,4
1745302986,16.16,1015,93,15.03,100,10000,0.0,0,1,1,1,4
1745303566,16.16,1015,93,15.03,100,10000,0.0,0,1,1,1,4
1745304158,15.93,1015,91,14.46,100,10000,0.0,0,1,1,1,4
1745306586,15.95,1015,92,14.65,100,10000,0.0,0,1,1,1,4
1745307166,16.24,1015,91,14.77,100,10000,0.0,0,1,1,1,4
1745307758,16.24,1015,91,14.77,100,10000,0.0,0,1,1,1,4
1745310186,16.16,1015,93,15.03,40,10000,0.0,0,2,1,2,3
1745310766,16.16,1015,93,15.03,0,10000,0.0,0,0,0,0,0
1745311358,15.91,1015,94,14.95,0,10000,1.54,20,0,0,0,0
1745313786,15.25,1015,93,14.13,0,8047,0.0,0,4,2,4,6
1745314366,15.14,1015,94,14.18,0,10000,0.0,0,4,2,4,6
1745314958,15.12,1015,94,14.16,100,1207,0.0,0,4,2,4,6
1745317386,14.59,1015,94,13.64,100,2414,0.0,0,4,2,4,7
1745317966,14.71,1017,96,14.08,0,10000,0.0,0,4,2,4,7
1745318558,14.49,1017,96,13.86,0,8047,0.0,0,4,2,4,7
1745320986,15.35,1017,97,14.88,0,10000,0.0,0,0,0,0,1
1745321566,15.91,1017,96,15.27,0,10000,0.0,0,0,0,0,1
1745322158,15.34,1017,96,14.71,0,10000,0.0,0,0,0,0,1
1745324586,16.99,1017,93,15.85,0,10000,0.0,0,0,0,0,1
1745325166,19.23,1017,86,16.83,0,10000,0.45,304,0,0,0,1
1745325758,17.8,1017,89,15.96,0,10000,0.0,0,0,0,0,1
1745328186,20.86,1017,74,16.06,0,10000,2.06,340,0,0,0,1
1745328766,21.26,1017,73,16.23,0,10000,3.1,300,0,0,0,1
1745329358,21.93,1017,71,16.44,0,10000,3.6,340,0,0,0,1
1745331786,23.16,1017,62,15.48,0,10000,3.6,310,0,0,0,1
1745332366,23.61,1017,60,15.4,0,10000,4.12,280,0,0,0,1
1745332958,23.55,1017,60,15.34,0,10000,3.1,300,0,0,0,1
1745335386,24.37,1017,57,15.31,0,10000,3.1,280,0,0,0,1
1745335966,24.58,1017,57,15.5,40,10000,4.12,280,2,1,2,5
1745336558,24.75,1017,54,14.82,40,10000,5.7,280,2,1,2,5
1745338986,25.12,1017,50,13.97,0,10000,5.7,290,0,0,0,1
1745339566,25.11,1017,48,13.34,0,10000,4.12,260,0,0,0,1
1745340158,25.43,1017,48,13.63,0,10000,5.14,260,0,0,0,1
1745342586,25.35,1017,45,12.57,0,10000,5.14,280,0,0,0,1
1745343166,25.48,1017,43,12.0,0,10000,5.14,350,0,0,0,1
1745343758,26.05,1017,38,10.64,0,10000,5.7,270,0,0,0,1
1745346186,26.1,1017,32,8.13,0,10000,5.66,280,0,0,0,1
1745346766,26.1,1017,29,6.69,0,10000,5.7,280,0,0,0,1
1745347358,26.1,1017,31,7.67,0,10000,4.12,280,0,0,0,1
1745349786,26.1,1017,31,7.67,0,10000,4.63,290,0,0,0,1
1745350366,26.1,1015,31,7.67,0,10000,4.63,270,0,0,0,1
1745350958,26.1,1015,31,7.67,0,10000,5.14,280,0,0,0,1
1745353386,25.14,1015,36,9.03,0,10000,4.63,290,0,0,0,1
1745353966,25.12,1015,38,9.82,0,10000,4.63,280,0,0,0,1
1745354558,26.1,1015,36,9.88,0,10000,5.14,260,0,0,0,1
1745356986,25.1,1015,36,9.0,0,10000,3.1,290,0,0,0,1
1745357566,25.1,1015,33,7.71,0,10000,4.12,330,0,0,0,1
1745358158,25.1,1015,33,7.71,0,10000,4.63,330,0,0,0,1
1745360586,23.59,1015,38,8.46,0,10000,4.63,340,0,0,0,1
1745361166,23.1,1017,38,8.02,0,10000,3.09,330,0,0,0,1
1745361758,23.1,1017,38,8.02,0,10000,4.12,340,0,0,0,1
1745364186,21.13,1017,42,7.73,0,10000,3.09,340,0,0,0,1
1745364766,21.1,1017,40,6.99,0,10000,3.1,310,0,0,0,1
1745365358,21.1,1017,37,5.86,0,10000,3.1,310,0,0,0,1
1745367786,20.11,1017,42,6.81,0,10000,2.06,350,0,0,0,0
1745368366,20.1,1017,42,6.8,0,10000,1.54,340,0,0,0,0
1745368958,19.11,1017,45,6.91,0,10000,0.0,0,0,0,0,0
1745371386,19.65,1017,54,10.1,0,10000,0.0,0,0,0,0,0
1745371966,19.2,1019,55,9.95,0,10000,0.0,0,0,0,0,0
1745372558,19.09,1019,56,10.12,0,10000,0.0,0,0,0,0,0
1745374986,18.09,1019,57,9.45,0,10000,3.6,340,0,0,0,0
1745375566,17.88,1019,58,9.51,100,-1,2.5,349,1,1,1,4
1745376158,17.72,1019,58,9.36,40,10000,2.06,300,2,1,2,3
1745378586,17.12,1019,60,9.3,40,10000,0.0,0,2,1,2,3
1745379166,16.69,1019,61,9.14,40,10000,0.0,0,2,1,2,3
1745379758,16.36,1019,62,9.07,40,10000,0.0,0,2,1,2,3
1745382186,15.03,1019,68,9.18,40,10000,0.0,0,2,1,2,3
1745382766,14.63,1019,69,9.01,40,10000,0.0,0,2,1,2,3
1745383358,14.24,1019,71,9.06,40,10000,0.0,0,2,1,2,3
